m/z,intensity
396.9838608565002,0.3305609618285393
392.9551972052478,0.1328911673273654
408.94909912177,0.10280677823604366
449.9520037898308,0.06531378136533651
459.2436818405979,0.048500639337479584
463.1523206100277,0.04208010501438708
472.0599690338322,0.03582269028093129
441.2342322183706,0.03379534810056674
922.5001985010108,0.024429974519390562
383.9973108760172,0.02328514410063313
475.2167644149352,0.022438750821357496
485.2581875623953,0.022071419518851946
523.355659811665,0.019308657936543835
658.3764007699972,0.015820189448294882
639.5640279467634,0.015129717176512281
996.5434795065352,0.015128693587719748
978.545933466862,0.015007263095268777
415.2167743561181,0.01498678081284878
505.3449115222276,0.014675482207052549
933.5015456188676,0.0030050152337573774
